ba7r,label,
عَلَيَّ حِرَاصٍ لَوْ يُشِرُّونَ مَقْتَلِي,1,
إذا ما الثُّرَيَّا في السَّمَاءِ تَعَرَّضَتْ,1,
تَعَرُّضَ أَثْنَاءِ الوِشَاحِ المُفَصَّلِ,1,
فَجِئْتُ وَقَدْ نَضَتْ لنَوْمٍ ثِيَابَهَا,1,
لَدَى السِّتْرِ إِلاَّ لِبْسَةَ المُتَفَضِّلِ,1,
فَقَالَتْ يَمُيْنَ اللهَ ما لَكَ حِيْلَةٌ,1,
وَمَا إِنْ أَرَى عَنْكَ العَمَايَةَ تَنْجَلِي,1,
خَرَجْتُ بِهَا تَمْشِيْ تَجُرُّ وَرَاءَنَا,1,
عَلَى أثَرَيْنَا ذَيْلَ مِرْطٍ مُرَحَّلِ,1,
فَلَمَّا أَجَزْنَا سَاحَةَ الحَيِّ وَانْتَحَى,1,
بِنَا بَطْنُ حِقْفٍ ذِيْ رُكَامٍ عَقَنْقَلِ,1,
إِذَا التَفَتَتْ نَحْوِيْ تَضَوَّعَ رِيْحُهَا,1,
نَسِيْمَ الصَّبَا جَاءَتْ بِرَيَّا القَرَنْفُلِ,1,
إِذَا قُلْتُ هَاتِيْ نَوِّلِيْنِيْ تَمَايَلَتْ,1,
عَلَيَّ هَضِيْمَ الكَشَحِ رَيَّا المُخَلْخَلِ,1,
مُهَفْهَفَةٌ بَيْضَاءُ غَيْرُ مُفاضَةٍ,1,
تَرَائِبُهَا مَصْقُوْلَةٌ كَالسَّجَنْجَلِ,1,
كِبِكْرِ مُقَانَاةِ البَيَاضِ بِصُفْرَةٍ,1,
غَذَاهَا نَمِيْرُ المَاءِ غَيْرِ المُحَلَّلِِ,1,
تَصُدُّ وَتُبْدِيْ عَنْ أَسِيْلٍ وَتَتَّقِيْ,1,
بِنَاظِرَةٍ مِنْ وَحْشِ وَجْرَةَ مُطْفِلِ,1,
وَجِيْدٍ كَجِيْدِ الرِّئْمِ لَيْسَ بِفَاحِشٍ,1,
إِذَا هِيَ نَصَّتْهُ وَلا بِمُعَطَّلِ,1,
وَفَرْعٍ يُغَشِّي المَتْنَ أَسْودَ فَاحِمٍ,1,
أَثِيْثٍ كَقِنْوِ النَّخْلَةِ المُتَعَثْكِلِ,1,
غَدَائِرُهُ مُسْتَشْزِرَاتٌ إلى العُلا,1,
تَضِلُّ المَدَارَى في مُثَنًى وَمُرْسَلِ,1,
وَكَشْحٍ لَطِيْفٍ كَالجَدِيْلِ مُخَصَّرٍ,1,
وَسَاقٍ كَأُنْبُوبِ السَّقِيِّ المُذَلَّلِ,1,
وَتَعْطُو بِرَخْصٍ غَيْرِ شَثْنٍ كَأَنَّهُ,1,
أَسَارِيْعُ ظَبْيٍ أَوْ مَسَاوِيْكُ إِسْحِلِ,1,
تُضِيءُ الظَّلامَ بِالعِشَاءِ كَأَنَّهَا,1,
مَنَارَةُ مُمْسَى رَاهِبٍ مُتَبَتِّلِ,1,
وَتُضْحِيْ فَتِيْتُ المِسْكِ فَوْقَ فِرَاشِهَا,1,
نَؤُوْمُ الضُّحَى لم تَنْتَطِقْ عَنْ تَفَضُّلِ,1,
إِلى مِثْلِهَا يَرْنُو الحَلِيْمُ صَبَابَةً,1,
إِذَا ما اسْبَكَرَّتْ بَيْنَ دِرْعٍ ومِجْوَلِ,1,
تسلت عمايات الرجالِ عن الصّبا,1,
وليسَ صِبايَ عن هواها بمنسل,1,
ألا رُبّ خَصْمٍ فيكِ ألْوَى رَدَدتُه,1,
نصيح على تعذَاله غير مؤتل,1,
وليل كموج البحر أرخى سدولهُ,1,
عليَّ بأنواع الهموم ليبتلي,1,
فَقُلْتُ لَهُ لما تَمَطّى بجوزه,1,
وأردف أعجازا وناء بكلكل,1,
ألا أيّها اللّيلُ الطّويلُ ألا انْجَلي,1,
بصُبْحٍ وما الإصْباحَ فيك بأمثَلِ,1,
فيا لكَ من ليلْ كأنَّ نجومهُ,1,
بكل مغار الفتل شدت بيذبل,1,
كأنَّ الثريا علقت في مصامها,1,
بأمْراسِ كتّانٍ إلى صُمّ جَندَلِ,1,
وَقَدْ أغْتَدي وَالطّيرُ في وُكنُاتُها,1,
بمنجردٍ قيدِ الأوابدِ هيكلِ,1,
مِكَرٍّ مفرٍّ مُقْبِلٍ مُدْبِرٍ معًا,1,
كجلمودِ صخْر حطه السيل من علِ,1,
كميت يزل اللبد عن حال متنه,1,
كما زَلّتِ الصَّفْواءُ بالمُتَنَزّلِ,1,
مسحٍّ إذا ما السابحاتُ على الونى,1,
أثرنَ غبارًا بالكديد المركل,1,
على العقبِ جيَّاش كأن اهتزامهُ,1,
إذا جاش فيه حميُه غَليُ مِرْجلِ,1,
يطيرُ الغلامُ الخفُّ عن صهواته,1,
وَيُلْوي بأثْوابِ العَنيفِ المُثقَّلِ,1,
دَريرٍ كَخُذْروفِ الوَليدِ أمَرّهُ,1,
تقلبُ كفيهِ بخيطٍ مُوصلِ,1,
لهُ أيطلا ظبيٍ وساقا نعامة,1,
وإرخاء سرحانٍ وتقريبُ تتفلِ,1,
كأن على الكتفين منه إذا انتحى,1,
مَداكَ عَروسٍ أوْ صَرية َ حنظلِ,1,
وباتَ عَلَيْهِ سَرْجُهُ وَلجامُهُ,1,
وباتَ بعيني قائمًا غير مرسل,1,
فعنَّ لنا سربٌ كأنَّ نعاجَه,1,
عَذارَى دَوارٍ في المُلاءِ المُذَيَّلِ,1,
فأدبرنَ كالجزع المفصل بينه,1,
بجيدِ مُعَمٍّ في العَشيرَة ِ مُخْوَلِ,1,
فألحَقَنا بالهادِياتِ وَدُونَهُ,1,
جواحِرها في صرة ٍ لم تزيَّل,1,
فَعادى عِداءً بَينَ ثَوْرٍ وَنَعْجَة ٍ,1,
دِراكًا ولم يَنْضَحْ بماءٍ فيُغسَلِ,1,
فظلّ طُهاة ُ اللّحمِ من بينِ مُنْضِجٍ,1,
صَفيفَ شِواءٍ أوْ قَديرٍ مُعَجَّلِ,1,
ورُحنا وراحَ الطرفُ ينفض رأسه,1,
متى ما تَرَقَّ العينُ فيه تسهل,1,
كأنَّ دماءَ الهادياتِ بنحره,1,
عُصارة ُ حِنّاءٍ بشَيْبٍ مُرْجّلِ,1,
وأنتَ إذا استدبرتُه سدَّ فرجه,1,
بضاف فويق الأرض ليس بأعزل,1,
أحار ترى برقًا كأن وميضه,1,
كلمع اليدينِ في حبي مُكلل,1,
يُضيءُ سَناهُ أوْ مَصَابيحُ راهِبٍ,1,
أهان السليط في الذَّبال المفتَّل,1,
قَعَدْتُ لَهُ وَصُحْبَتي بينَ حامر,1,
وبين إكام بعد ما متأمل,1,
وأضحى يسحُّ الماء عن كل فيقة,1,
يكبُّ على الأذقان دوحَ الكنهبل,1,
وتيماءَ لم يترُك بها جِذع نخلة,1,
وَلا أُطُمًا إلا مَشيدًا بجَنْدَلِ,1,
كأن طمية المجيمر غدوةً,1,
من السَّيلِ والغثاء فَلكة ُ مِغزَلِ,1,
كأنَّ أبانًا في أفانينِ ودقهِ,1,
كَبيرُ أُناسٍ في بِجادٍ مُزَمَّلِ,1,
وَألْقى بصَحْراءِ الغَبيطِ بَعاعَهُ,1,
نزول اليماني ذي العياب المخوَّل,1,
كأنّ سباعًا فيهِ غَرْقَى غدية,1,
بِأرْجائِهِ القُصْوى أنابيشُ عُنْصُلِ,1,
على قَطَنٍ بالشَّيْمِ أيْمَنُ صَوْبهِ,1,
وَأيْسَرُهُ عَلى السّتارِ فَيَذْبُلِ,1,
وَألقى بِبَيسانَ مَعَ اللَيلِ بَركَهُ,1,
فَأنزَلَ مِنهُ العَصمَ مِن كُلِّ مَنزِلِ,1,
سَما لَكَ شَوقٌ بَعدَما كانَ أَقصَرا,1,
وَحَلَّت سُلَيمى بَطنَ قَوِّ فَعَرعَرا,1,
كِنانِيَّةٌ بانَت وَفي الصَدرِ وُدُّها,1,
مُجاوِرَةٌ غَسّانَ وَالحَيُّ يَعمُرا,1,
بِعَينَيَّ ظَعنُ الحَيِّ لَمّا تَحَمَّلوا,1,
لَدى جانِبِ الأَفلاجِ مِن جَنبِ تَيمَرى,1,
فَشَبَّهتَهُم في الآلِ لَمّا تَكَمَّشوا,1,
حَدائِقَ دومِ أَو سَفيناً مُقَيَّرا,1,
أَوِ المُكرَعاتِ مِن نَخيلِ اِبنِ يامِنٍ,1,
دُوَينَ الصَفا اللائي يَلينَ المُشَقَّرا,1,
سَوامِقَ جَبّارَ أَثيثٍ فُروعَهُ,1,
وَعالَينَ قُنواناً مِنَ البُسرِ أَحمَرا,1,
حَمَتهُ بَنو الرَبداءِ مِن آلِ يامِنٍ,1,
بِأَسيافِهِم حَتّى أَقَرَّ وَأَوقَرا,1,
وَأَرضى بَني الرَبداءِ وَاِعتَمَّ زَهوُهُ,1,
وَأَكمامُهُ حَتّى إِذا ما تَهَصَّرا,1,
أَطافَت بِهِ جَيلانَ عِندَ قِطاعِهِ,1,
تُرَدِّدُ فيهِ العَينَ حَتّى تَحَيَّرا,1,
كَأَنَّ دُمى شَغف عَلى ظَهرِ مَرمَرٍ,1,
كَسا مُزبِدَ الساجومِ وَشياً مُصَوَّرا,1,
غَرائِرُ في كَنٍّ وَصَونٍ وَنِعمَةٌ,1,
يُحَلَّينَ ياقوتاً وَشَذراً مُفَقَّرا,1,
وَريحَ سَناً في حُقَّةٍ حِميَرِيَّةٍ,1,
تُخَصُّ بِمَفروكٍ مِنَ المِسكِ أَذفَرا,1,
وَباناً وَأُلوِيّاً مِنَ الهِندِ داكِياً,1,
وَرَنداً وَلُبنىً وَالكِباءَ المُقَتَّرا,1,
غَلِقنَ بِرَهنٍ مِن حَبيبٍ بِهِ اِدَّعَت,1,
سُلَيمى فَأَمسى حَبلُها قَد تَبَتَّرا,1,
وَكانَ لَها في سالِفِ الدَهرِ خُلَّةٌ,1,
يُسارِقُ بِالطَرفِ الخِباءَ المُسَتَّرا,1,
إِذا نالَ مِنها نَظرَةً ريعَ قَلبُهُ,1,
كَما ذُعِرَت كَأسُ الصَبوحِ المُخَمَّرا,1,
نَزيفٌ إِذا قامَت لِوَجهٍ تَمايَلَت,1,
تُراشي الفُؤادَ الرَخصَ أَلّا تَخَتَّرا,1,
أَأَسماءُ أَمسى وُدُّها قَد تَغَيَّرا,1,
سَنُبدِلُ إِن أَبدَلتِ بِالوُدِّ آخَرا,1,
تَذَكَّرتُ أَهلي الصالِحينَ وَقَد أَتَت,1,
عَلى خَمَلى خوصُ الرِكابِ وَأَوجَرا,1,
فَلَمّا بَدا حَورانُ وَالآلُ دونَهُا,1,
نَظَرتَ فَلَم تَنظُر بِعَينَيكَ مَنظَرا,1,
تَقَطَّعُ أَسبابُ اللُبانَةِ وَالهَوى,1,
عَشِيَّةَ جاوَزنا حَماةَ وَشَيزَرا,1,
بِسَيرٍ يَضُجُّ العَودُ مِنهُ يَمُنُّهُ,1,
أَخو الجَهدِ لا يُلوي عَلى مَن تَعَذَّرا,1,
وَلَم يُنسِني ما قَد لَقيتُ ظَعائِناً,1,
وَخَملاً لَها كَالقَرِّ يَوماً مُخَدَّرا,1,
كَأَثلٍ مِنَ الأَعراضِ مِن دونِ بَيشَةٍ,1,
وَدونَ الغُمَيرِ عامِداتٍ لِغَضوَرا,1,
فَدَع ذا وَسَل لا هُمَّ عَنكَ بِجِسرَةٍ,1,
ذُمولٍ إِذا صامَ النَهارُ وَهَجَّرا,1,
تُقَطِّعُ غيطاناً كَأَنَّ مُتونَها,1,
إِذا أَظهَرَت تُكسي مُلاءً مُنَشَّرا,1,
بَعيدَةُ بَينَ المَنكِبَينِ كَأَنَّما,1,
تَرى عِندَ مَجرى الضَفرِ هِرّاً مُشَجَّرا,1,
تُطايِرُ ظِرّانَ الحَصى بِمَناسِمٍ,1,
صِلابِ العُجى مَلثومُها غَيرُ أَمعَرا,1,
كَأَنَّ الحَصى مِن خَلفِها وَأَمامِها,1,
إِذا نَجَلَتهُ رِجلُها خَذفُ أَعسَرا,1,
كَأَنَّ صَليلَ المَروِ حينَ تُشِذُّهُ,1,
صَليلِ زُيوفٍ يُنتَقَدنَ بِعَبقَرا,1,
عَلَيها فَتىً لَم تَحمِلِ الأَرضُ مِثلَهُ,1,
أَبَرَّ بِميثاقٍ وَأَوفى وَأَصبَرا,1,
هُوَ المُنزِلُ الآلافَ مِن جَوِّ ناعِطٍ,1,
بَني أَسَدٍ حَزناً مِنَ الأَرضِ أَوعَرا,1,
وَلَو شاءَ كانَ الغَزوُ مِن أَرضِ حِميَرٍ,1,
وَلَكِنَّهُ عَمداً إِلى الرومِ أَنفَرا,1,
بَكى صاحِبي لَمّا رَأى الدَربَ دونَهُ,1,
وَأَيقَنَ أَنّا لاحِقانِ بِقَيصَرا,1,
فَقُلتُ لَهُ لا تَبكِ عَينُكَ إِنَّما,1,
نُحاوِلُ مُلكاً أَو نَموتَ فَنُعذَرا,1,
وَإِنّي زَعيمٌ إِن رَجِعتُ مُمَلَّكاً,1,
بِسَيرٍ تَرى مِنهُ الفُرانِقَ أَزوَرا,1,
عَلى لاحِبٍ لا يَهتَدي بِمَنارِهِ,1,
إِذا سافَهُ العَودُ النُباطِيُّ جَرجَرا,1,
عَلى كُلِّ مَقصوصِ الذُنابى مُعاوِدٍ,1,
بَريدَ السَرى بِاللَيلِ مِن خَيلِ بَربَرا,1,
أَقَبَّ كَسَرحانِ الغَضى مُتَمَطِّرٍ,1,
تَرى الماءَ مِن أَعطافِهِ قَد تَحَدَّرا,1,
إِذا زُعتُهُ مِن جانِبَيهِ كِلَيهِما,1,
مَشى الهَيدَبى في دَفِّهِ ثُمَّ فَرفَرا,1,
إِذا قُلتُ رَوَّحنا أَرَنَّ فُرانِقٌ,1,
عَلى جَلعَدٍ واهي الأَباجِلِ أَبتَرا,1,
لَقَد أَنكَرَتني بَعلَبَكُّ وَأَهلُها,1,
وَلَاِبنُ جُرَيجٍ في قُرى حِمصَ أَنكَرا,1,
نَشيمُ بَروقَ المُزنِ أَينَ مُصابُهُ,1,
وَلا شَيءَ يُشفي مِنكِ يا اِبنَةَ عَفزَرا,1,
مِنَ القاصِراتِ الطَرفِ لَو دَبَّ مُحوِلٍ,1,
مِنَ الذَرِّ فَوقَ الإِتبِ مِنها لَأَثَّرا,1,
لَهُ الوَيلُ إِن أَمسى وَلا أُمُّ هاشِمٍ,1,
قَريبٌ وَلا البَسباسَةُ اِبنَةَ يَشكُرا,1,
أَرى أُمَّ عَمروٍ دَمعُها قَد تَحَدَّرا,1,
بُكاءً عَلى عَمروٍ وَما كانَ أَصبَرا,1,
إِذا نَحنُ سِرنا خَمسَ عَشرَةَ لَيلَةٍ,1,
وَراءَ الحِساءِ مِن مَدافِعِ قَيصَرا,1,
إِذا قُلتُ هَذا صاحِبٌ قَد رَضيتُهُ,1,
وَقَرَّت بِهِ العَينانِ بُدِّلتُ آخَرا,1,
كَذَلِكَ جَدّي ما أُصاحِبُ صاحِب,1,
مِنَ الناسِ إِلّا خانَني وَتَغَيَّرا,1,
وَكُنّا أُناساً قَبلَ غَزوَةِ قُرمُلٍ,1,
وَرَثنا الغِنى وَالمَجدَ أَكبَرَ أَكبَرا,1,
وَما جَبُنَت خَيلي وَلَكِن تَذَكَّرَت,1,
مَرابِطَها في بَربَعيصَ وَمَيسَرا,1,
أَلا رُبَّ يَومٍ صالِحٍ قَد شَهِدتُهُ,1,
بِتاذِفَ ذاتِ التَلِّ مِن فَوقِ طَرطَرا,1,
وَلا مِثلَ يَومٍ في قُدارانَ ظِلتُهُ,1,
كَأَنّي وَأَصحابي عَلى قَرنِ أَعفَرا,1,
وَنَشرَبُ حَتّى نَحسِبَ الخَيلَ حَولَنا,1,
نِقاداً وَحَتّى نَحسِبَ الجَونَ أَشقَرا,1,
طَرِبتَ وَهاجَتكَ الظِباءُ السَوارِحُ,1,
غَداةَ غَدَت مِنها سَنيحٌ وَبارِحُ,1,
تَغالَت بِيَ الأَشواقُ حَتّى كَأَنَّما,1,
بِزَندَينِ في جَوفي مِنَ الوَجدِ قادِحُ,1,
وَقَد كُنتَ تُخفي حُبَّ سَمراءَ حِقبَةَ,1,
فَبُح لِانَ مِنها بِالَّذي أَنتَ بائِحُ,1,
لَعَمري لَقَد أَعذَرتُ لَو تَعذِرينَني,1,
وَخَشِّنتِ صَدراً غَيبُهُ لَكَ ناصِحُ,1,
أَعاذِلَ كَم مِن يَومِ حَربٍ شَهِدتُهُ,1,
لَهُ مَنظَرٌ بادي النَواجِذِ كالِحُ,1,
فَلَم أَرَ حَيّاً صابَروا مِثلَ صَبرِنا,1,
وَلا كافَحوا مِثلَ الَّذينَ نُكافِحُ,1,
إِذا شِئتُ لاقاني كَميٌّ مُدَجَّجٌ,1,
عَلى أَعوَجِيٍّ بِالطِعانِ مُسامِحُ,1,
نُزاحِفُ زَحفاً أَو نُلاقي كَتيبَةً,1,
